bin_center_elev_m,z1_bin_count_valid,z1_bin_area_valid_km2,dhdt_bin_count,dhdt_bin_mean_ma,dhdt_bin_std_ma,dhdt_bin_med_ma,dhdt_bin_mad_ma,mb_bin_mean_mwea,mb_bin_std_mwea,mb_bin_med_mwea,mb_bin_mad_mwea,dc_dhdt_bin_count,dc_dhdt_bin_mean_ma,dc_dhdt_bin_std_ma,dc_dhdt_bin_med_ma,dc_dhdt_bin_mad_ma,dc_mb_bin_mean_mwea,dc_mb_bin_std_mwea,dc_mb_bin_med_mwea,dc_mb_bin_mad_mwea,dc_bin_count_valid,dc_bin_area_valid_km2,ts_mean,ts_std,ts_med,ts_mad,dc_ts_mean,dc_ts_std,dc_ts_med,dc_ts_mad,vm_med,vm_mad,H_mean,H_std,emvel_mean,emvel_std,emvel_med,emvel_mad,hd_ts_mean_m,hd_ts_std_m,hd_ts_med_m,hd_ts_mad_m,mf_ts_mean,mf_ts_std,mf_ts_med,mf_ts_mad
2585.0,930.0,9.3,930.0,-0.14666446,0.8475378,-0.18940926,0.5587824,-0.13199803,0.76278406,-0.17046833,0.5029042,,,,,,,,,,0.0,0.0,,,,,,,,,6.736119,8.222757000000001,272.63507000000004,197.22101999999998,-0.32550159999999995,111.69608000000001,-0.14517313,3.4961123,,,,,1.0,0.0,1.0,0.0
2595.0,997.0,9.97,997.0,-0.15545246,0.8797598,-0.20976497,0.51891994,-0.13990721,0.7917838,-0.18878849,0.46702793,,,,,,,,,,0.0,0.0,,,,,,,,,8.080797,9.774689,283.71597,196.02815,-0.08309888,70.82388,-0.005338348000000001,4.9430485,,,,,1.0,0.0,1.0,0.0
2605.0,1032.0,10.32,1032.0,-0.21830708,0.75770086,-0.22896835,0.54430556,-0.19647637,0.6819308000000001,-0.20607153,0.489875,,,,,,,,,,0.0,0.0,,,,,,,,,9.204475,10.893225,308.7422,195.07785,-1.5318798999999999,73.81192,-0.049978442000000005,5.1488237,,,,,1.0,0.0,1.0,0.0
2615.0,1151.0,11.51,1151.0,-0.25450522,0.75208616,-0.24794145,0.5580241,-0.22905473,0.67687756,-0.2231473,0.5022217000000001,,,,,,,,,,0.0,0.0,,,,,,,,,8.353882,9.657238000000001,298.44336,192.00928000000002,1.9207368999999999,50.784042,-0.16634136,4.8569593,,,,,1.0,0.0,1.0,0.0
2625.0,1048.0,10.48,1048.0,-0.19798465,0.7798798000000001,-0.20535299,0.6213083,-0.17818620000000002,0.7018918000000001,-0.1848177,0.5591775,,,,,,,,,,0.0,0.0,,,,,,,,,7.808563,8.560392,297.51993,190.49979,0.07031011,46.98148,-0.27217767,4.6689343,,,,,1.0,0.0,1.0,0.0
2635.0,951.0,9.51,951.0,-0.24380897,0.77846324,-0.27571785,0.567315,-0.21942809,0.70061696,-0.24814607,0.51058346,,,,,,,,,,0.0,0.0,,,,,,,,,5.8595695,6.598342,267.92953,188.01715,2.0040803,42.559470000000005,-0.059173527999999996,3.2591924999999997,,,,,1.0,0.0,1.0,0.0
2645.0,984.0,9.84,984.0,-0.18345517,0.8066838000000001,-0.25012840000000003,0.65962404,-0.16510965,0.7260154000000001,-0.22511554,0.59366167,,,,,,,,,,0.0,0.0,,,,,,,,,4.9340715,5.533935,268.7983,187.38339,1.1601888999999999,33.766064,0.026653383,3.2285316,,,,,1.0,0.0,1.0,0.0
2655.0,1006.0,10.06,1006.0,-0.17136645,0.8406594000000001,-0.22544459,0.6322552,-0.15422982,0.75659347,-0.20290011,0.5690297,,,,,,,,,,0.0,0.0,,,,,,,,,5.4607577,6.0892897,275.6664,192.06839,-0.22939388,27.178926,-0.015320579499999999,3.470012,,,,,1.0,0.0,1.0,0.0
2665.0,913.0,9.13,913.0,-0.13553837,0.87371796,-0.20965742,0.6385699,-0.12198453,0.78634614,-0.18869168,0.5747129,,,,,,,,,,0.0,0.0,,,,,,,,,4.821162999999999,5.3414454000000005,264.37023999999997,187.70927,0.47238916,33.677414,-0.017807137,3.0491107000000004,,,,,1.0,0.0,1.0,0.0
2675.0,862.0,8.62,862.0,-0.12977032,0.78033435,-0.23477474,0.54387915,-0.11679328,0.70230097,-0.21129727,0.48949122,,,,,,,,,,0.0,0.0,,,,,,,,,3.9944919999999997,4.389467,229.9159,176.51413,0.67155874,32.63604,-0.040184494,2.091952,,,,,1.0,0.0,1.0,0.0
