pointid,deb thickness,Lat,Long,Easting,Northing,MF
847,0.0383244,60.80146055,-138.6404353,25772.69361,6740766.429,2.0534
848,0.0034152,60.80138101,-138.6183867,26972.69361,6740766.429,1.21655
849,0.0035237,60.80137421,-138.6165493,27072.69361,6740766.429,1.22343
850,0.0074704,60.8013674,-138.6147119,27172.69361,6740766.429,1.47368
851,0.0191591,60.80136055,-138.6128745,27272.69361,6740766.429,2.2148399
852,0.0290402,60.80135369,-138.6110372,27372.69361,6740766.429,2.2681601
853,0.0275815,60.8013468,-138.6091998,27472.69361,6740766.429,2.2681601
854,0.0214631,60.80133988,-138.6073624,27572.69361,6740766.429,2.2681601
855,0.0248976,60.80133293,-138.605525,27672.69361,6740766.429,2.2681601
856,0.0452847,60.80132597,-138.6036876,27772.69361,6740766.429,1.89615
857,0.0917821,60.80131897,-138.6018503,27872.69361,6740766.429,1.25441
858,0.17382,60.80131196,-138.6000129,27972.69361,6740766.429,0.785408
859,0.316548,60.80130491,-138.5981755,28072.69361,6740766.429,0.47587
860,0.329471,60.80129784,-138.5963382,28172.69361,6740766.429,0.459475
861,0.292179,60.80129075,-138.5945008,28272.69361,6740766.429,0.510202
862,0.281404,60.80128363,-138.5926634,28372.69361,6740766.429,0.527013
863,0.174996,60.80127649,-138.590826,28472.69361,6740766.429,0.781221
864,0.168847,60.80126932,-138.5889887,28572.69361,6740766.429,0.803624
865,0.194131,60.80126213,-138.5871513,28672.69361,6740766.429,0.718867
866,0.227494,60.80125491,-138.5853139,28772.69361,6740766.429,0.631046
867,0.263009,60.80124766,-138.5834766,28872.69361,6740766.429,0.558426
868,0.293126,60.80124039,-138.5816392,28972.69361,6740766.429,0.508775
869,0.28366,60.8012331,-138.5798019,29072.69361,6740766.429,0.523402
870,0.195087,60.80122578,-138.5779645,29172.69361,6740766.429,0.716011
871,0.16031,60.80121843,-138.5761271,29272.69361,6740766.429,0.836941
872,0.218431,60.80121106,-138.5742898,29372.69361,6740766.429,0.652708
873,0.218994,60.80120367,-138.5724524,29472.69361,6740766.429,0.651318
874,3,60.80085522,-138.7323167,20772.69361,6740666.429,0.0565855
875,3,60.80084999,-138.7304793,20872.69361,6740666.429,0.0565855
876,3,60.80084473,-138.7286419,20972.69361,6740666.429,0.0565855
877,3,60.80083944,-138.7268045,21072.69361,6740666.429,0.0565855
878,3,60.80083414,-138.7249672,21172.69361,6740666.429,0.0565855
879,1.87108,60.8008288,-138.7231298,21272.69361,6740666.429,0.089914
